Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Mcluckie, A., Kutcher, S., Wei, Y., Weaver, C.","Sustained improvements in students' mental health literacy with use of a mental health curriculum in Canadian schools",2014,"BMC Psychiatry","14","1", 379,"","",,17,10.1186/s12888-014-0379-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964315574&doi=10.1186%2fs12888-014-0379-4&partnerID=40&md5=6013562642d7ff9d01bc0bc56a2f7fef",Article,,Scopus,2-s2.0-84964315574
"Borg, A.-M., Salmelin, R., Joukamaa, M., Tamminen, T.","Cutting a long story short? the clinical relevance of asking parents, nurses, and young children themselves to identify children's mental health problems by one or two questions",2014,"Scientific World Journal","2014",, 286939,"","",,2,10.1155/2014/286939,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921313121&doi=10.1155%2f2014%2f286939&partnerID=40&md5=34b3ee5869fec0290e5324d664759aa2",Article,Open Access,Scopus,2-s2.0-84921313121
"Perry, T.E.","Moving as a gift: Relocation in older adulthood",2014,"Journal of Aging Studies","31",,,"1","9",,3,10.1016/j.jaging.2014.07.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907541300&doi=10.1016%2fj.jaging.2014.07.001&partnerID=40&md5=2faf3ab9358b1ef9307bb44c926e5011",Article,,Scopus,2-s2.0-84907541300
"Bolton, P., Bass, J.K., Zangana, G.A.S., Kamal, T., Murray, S.M.I., Kaysen, D., Lejuez, C.W., Lindgren, K., Pagoto, S., Murray, L.K., Van Wyk, S.S., Ahmed, A.M.A., Mohammad Amin, N.M., Rosenblum, M.","A randomized controlled trial of mental health interventions for survivors of systematic violence in Kurdistan, Northern Iraq",2014,"BMC Psychiatry","14","1", 360,"","",,21,10.1186/s12888-014-0360-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924114754&doi=10.1186%2fs12888-014-0360-2&partnerID=40&md5=2932e2e9366884c2ca7bb6872dbbc92a",Article,,Scopus,2-s2.0-84924114754
"Anota, A., Barbieri, A., Savina, M., Pam, A., Gourgou-Bourgade, S., Bonnetain, F., Bascoul-Mollevi, C.","Comparison of three longitudinal analysis models for the health-related quality of life in oncology: A simulation study",2014,"Health and Quality of Life Outcomes","12","1", 192,"","",,5,10.1186/s12955-014-0192-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924116413&doi=10.1186%2fs12955-014-0192-2&partnerID=40&md5=9db6fcc334cfe3057058409249a1f894",Article,,Scopus,2-s2.0-84924116413
"Bradley, B.","Who watches the GMC?",2014,"BMJ (Online)","349",, g7741,"","",,1,10.1136/bmj.g7741,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920836873&doi=10.1136%2fbmj.g7741&partnerID=40&md5=0f4d2c5c21fdf3ba29b79ca50e2a94ba",Letter,,Scopus,2-s2.0-84920836873
"De Ruyter, J.C., Katan, M.B., Kas, R., Olthof, M.R.","Can children discriminate sugar-sweetened from non-nutritively sweetened beverages and how do they like them?",2014,"PLoS ONE","9","12", e115113,"","",,3,10.1371/journal.pone.0115113,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938326769&doi=10.1371%2fjournal.pone.0115113&partnerID=40&md5=fa7fe2f43a117096df011675efe13977",Article,Open Access,Scopus,2-s2.0-84938326769
"O'Brien, K.K., Ibáñez-Carrasco, F., Solomon, P., Harding, R., Cattaneo, J., Chegwidden, W., Gahagan, J., Baxter, L., Worthington, C., Gayle, P., Merritt, B., Baltzer-Turje, R., Iku, N., Zack, E.","Advancing research and practice in HIV and rehabilitation: A framework of research priorities in HIV, disability and rehabilitation",2014,"BMC Infectious Diseases","14","1", 724,"","",,7,10.1186/s12879-014-0724-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924067942&doi=10.1186%2fs12879-014-0724-8&partnerID=40&md5=29d9e29f17a1c75d664af4497fbb4c67",Article,,Scopus,2-s2.0-84924067942
"Turner-Halliday, F., Watson, N., Boyer, N.R.S., Boyd, K.A., Minnis, H.","The feasibility of a randomised controlled trial of dyadic developmental psychotherapy",2014,"BMC Psychiatry","14","1", 347,"","",,2,10.1186/s12888-014-0347-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924130408&doi=10.1186%2fs12888-014-0347-z&partnerID=40&md5=b37bf2a1f763b841e361171701f3cfd4",Article,,Scopus,2-s2.0-84924130408
"Mousavi, A., Nadjar Araabi, B., Nili Ahmadabadi, M.","Context transfer in reinforcement learning using action-value functions",2014,"Computational Intelligence and Neuroscience","2014",, 428567,"","",,2,10.1155/2014/428567,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921047638&doi=10.1155%2f2014%2f428567&partnerID=40&md5=094c387fbc46f65e3ec0601935cb9fbb",Article,Open Access,Scopus,2-s2.0-84921047638
"Cicero, D.C., Martin, E.A., Becker, T.M., Kerns, J.G.","Reinforcement learning deficits in people with schizophrenia persist after extended trials",2014,"Psychiatry Research","220","3",,"760","764",,5,10.1016/j.psychres.2014.08.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919687699&doi=10.1016%2fj.psychres.2014.08.013&partnerID=40&md5=b1630ce0a1cb57497b3d32b5cc39c583",Article,,Scopus,2-s2.0-84919687699
"Fulford, D., Pearson, R., Stuart, B.K., Fisher, M., Mathalon, D.H., Vinogradov, S., Loewy, R.L.","Symptom assessment in early psychosis: The use of well-established rating scales in clinical high-risk and recent-onset populations",2014,"Psychiatry Research","220","3",,"1077","1083",,2,10.1016/j.psychres.2014.07.047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919838374&doi=10.1016%2fj.psychres.2014.07.047&partnerID=40&md5=305dafacee7c70b0e4cbaded132c58f5",Article,,Scopus,2-s2.0-84919838374
"Jackson, S.A., Kleitman, S., Aidman, E.","Low cognitive load and reduced arousal impede practice effects on executive functioning, metacognitive confidence and decision making",2014,"PLoS ONE","9","12", e115689,"","",,7,10.1371/journal.pone.0115689,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920123225&doi=10.1371%2fjournal.pone.0115689&partnerID=40&md5=bf7fd519c62d32c36038486764cac577",Article,Open Access,Scopus,2-s2.0-84920123225
"Barbero, J.D., Gutiérrez-Zotes, A., Montalvo, I., Creus, M., Cabezas, Á., Solé, M., Algora, M.J., Garcia-Parés, G., Vilella, E., Labad, J.","Free thyroxine levels are associated with cognitive abilities in subjects with early psychosis",2014,"Schizophrenia Research","166","1-3",,"37","42",,3,10.1016/j.schres.2015.04.030,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955180572&doi=10.1016%2fj.schres.2015.04.030&partnerID=40&md5=809df075d086d1a965dbae8ec58bf658",Article,,Scopus,2-s2.0-84955180572
"Miller, C.J., Li, M., Penfold, R.B., Lee, A.F., Smith, E.G., Osser, D.N., Bajor, L., Bauer, M.S.","Patterns of initiation of second generation antipsychotics for bipolar disorder: A month-by-month analysis of provider behavior",2014,"BMC Psychiatry","14","1", 339,"","",,4,10.1186/s12888-014-0339-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924147908&doi=10.1186%2fs12888-014-0339-z&partnerID=40&md5=925401d947a6759ea7bf6fa4dacbae2e",Article,,Scopus,2-s2.0-84924147908
"Grill, E., Schäffler, F., Huppert, D., Müller, M., Kapfhammer, H.-P., Brandt, T.","Self-efficacy beliefs are associated with visual height intolerance: A cross-sectional survey",2014,"PLoS ONE","9","12", e116220,"","",,,10.1371/journal.pone.0116220,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920174344&doi=10.1371%2fjournal.pone.0116220&partnerID=40&md5=984e28264b681c694c19f73e58d8a09c",Article,Open Access,Scopus,2-s2.0-84920174344
"Le Doare, K., Mackie, N.E., Kaye, S., Bamford, A., Walters, S., Foster, C.","Virtual support for paediatric HIV treatment decision making",2014,"Archives of Disease in Childhood","100","6",,"527","531",,3,10.1136/archdischild-2014-307019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964695950&doi=10.1136%2farchdischild-2014-307019&partnerID=40&md5=2d665ae959008a3405aab00b44830bc3",Article,,Scopus,2-s2.0-84964695950
"Glenn, J.J., Michel, B.D., Franklin, J.C., Hooley, J.M., Nock, M.K.","Pain analgesia among adolescent self-injurers",2014,"Psychiatry Research","220","3",,"921","926",,10,10.1016/j.psychres.2014.08.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919675948&doi=10.1016%2fj.psychres.2014.08.016&partnerID=40&md5=51aa4efd182e5efe63d839b090ea92df",Article,,Scopus,2-s2.0-84919675948
"Levine, S.S., Apfelbaum, E.P., Bernard, M., Bartelt, V.L., Zajac, E.J., Stark, D.","Ethnic diversity deflates price bubbles",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","52",,"18524","18529",,27,10.1073/pnas.1407301111,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924308730&doi=10.1073%2fpnas.1407301111&partnerID=40&md5=b4c33819c3401bf164380db6f5446dc4",Article,,Scopus,2-s2.0-84924308730
"Battle, C.E., Davies, G., Evans, P.A.","Long term health-related quality of life in survivors of sepsis in South West Wales: An epidemiological study",2014,"PLoS ONE","9","12", e116304,"","",,8,10.1371/journal.pone.0116304,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920129745&doi=10.1371%2fjournal.pone.0116304&partnerID=40&md5=1963400063d15fe006bfba49f7f0b9de",Article,Open Access,Scopus,2-s2.0-84920129745
"Yates, L.A., Leung, P., Orgeta, V., Spector, A., Orrell, M.","The development of individual cognitive stimulation therapy (iCST) for dementia",2014,"Clinical Interventions in Aging","10",,,"95","104",,11,10.2147/CIA.S73844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920168107&doi=10.2147%2fCIA.S73844&partnerID=40&md5=32867252609204018f6f7b3c1aa68d66",Article,Open Access,Scopus,2-s2.0-84920168107
"Kozlowska, K.","When the lie is the truth: Grounded theory analysis of an online support group for factitious disorder",2014,"Psychiatry Research","220","3",,"1176","1177",,,10.1016/j.psychres.2014.07.075,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919631086&doi=10.1016%2fj.psychres.2014.07.075&partnerID=40&md5=38667c892a8fd27a1824722aeeefb13e",Letter,,Scopus,2-s2.0-84919631086
"Messina, M., Molinaro, F., Meucci, D., Angotti, R., Giuntini, L., Cerchia, E., Bulotta, A.L., Brandigi, E.","Preoperative distraction in children: hand-held videogames vs clown therapy",2014,"La Pediatria medica e chirurgica : Medical and surgical pediatrics","36","5-6",,"98","",,8,10.4081/pmc.2014.98,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009654675&doi=10.4081%2fpmc.2014.98&partnerID=40&md5=f95e009982f6c077fcddc6547f51895d",Article,,Scopus,2-s2.0-85009654675
"Liu, J.-C., Chang, L.-Y., Wu, S.-Y., Tsai, P.-S.","Resilience mediates the relationship between depression and psychological health status in patients with heart failure: A cross-sectional study",2014,"International Journal of Nursing Studies","52","12",,"1846","1853",,3,10.1016/j.ijnurstu.2015.07.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960797332&doi=10.1016%2fj.ijnurstu.2015.07.005&partnerID=40&md5=a6d8bfdfaa529850f62caed33a9a99a1",Article,,Scopus,2-s2.0-84960797332
"Cao, J., Yong, T., Wen, G., Yu, W., Yu, X., Alofi, A.","Cooperative control and its engineering applications in power systems",2014,"Scientific World Journal","2014",, 795389,"","",,,10.1155/2014/795389,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921265823&doi=10.1155%2f2014%2f795389&partnerID=40&md5=441bb3b36c996af3c17476598133956c",Editorial,Open Access,Scopus,2-s2.0-84921265823
"Park, J.W., Park, K.H.","Validation of the bipolar disorder etiology scale based on psychological behaviorism theory and factors related to the onset of bipolar disorder",2014,"PLoS ONE","9","12", e116265,"","",,,10.1371/journal.pone.0116265,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920200158&doi=10.1371%2fjournal.pone.0116265&partnerID=40&md5=6dcfb6b0ec1c62e1af0f48cfad5fc149",Article,Open Access,Scopus,2-s2.0-84920200158
"Matsuda, S., Matsumoto, H., Furubayashi, T., Fukuda, H., Emoto, M., Hanajima, R., Tsuji, S., Ugawa, Y., Terao, Y.","Top-down but not bottom-up visual scanning is affected in hereditary pure cerebellar ataxia",2014,"PLoS ONE","9","12", e116181,"","",,4,10.1371/journal.pone.0116181,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919884169&doi=10.1371%2fjournal.pone.0116181&partnerID=40&md5=4ad477df3fe77a5351f46f8503356f14",Article,Open Access,Scopus,2-s2.0-84919884169
"Adolfsson, A., Linden, K., Sparud-Lundin, C., Larsson, P.-G., Berg, M.","A web-based support for pregnant women and new mothers with type 1 diabetes mellitus in Sweden (MODIAB-Web): Study protocol for a randomized controlled trial",2014,"Trials","15","1", 513,"","",,5,10.1186/1745-6215-15-513,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928555309&doi=10.1186%2f1745-6215-15-513&partnerID=40&md5=dc08c4f44750d4df7f483ce69fe14f88",Article,,Scopus,2-s2.0-84928555309
"Andersson, I.-M., Christensson, K., Gemzell-Danielsson, K.","Experiences, feelings and thoughts of women undergoing second trimester medical termination of pregnancy",2014,"PLoS ONE","9","12", e115957,"","",,7,10.1371/journal.pone.0115957,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920152052&doi=10.1371%2fjournal.pone.0115957&partnerID=40&md5=af8d29fb6697234d27e95adcdef6ff67",Article,Open Access,Scopus,2-s2.0-84920152052
"Jiang, X., Ji, Y., Du, M., Deng, W.","A study of driver's route choice behavior based on evolutionary game theory",2014,"Computational Intelligence and Neuroscience","2014",, 124716,"","",,5,10.1155/2014/124716,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921046988&doi=10.1155%2f2014%2f124716&partnerID=40&md5=820f3c1530ec5a7c6f54552681451e7e",Article,Open Access,Scopus,2-s2.0-84921046988
"Naghshizadian, R., Rahnemai-Azar, A.A., Kella, K., Weber, M.M., Calin, M.L., Bibi, S., Farkas, D.T.","Patient perception of ideal body weight and the effect of body mass index",2014,"Journal of Obesity","2014",, 491280,"","",,6,10.1155/2014/491280,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921030262&doi=10.1155%2f2014%2f491280&partnerID=40&md5=3ba12c2d57b0b43560085fe64805e9aa",Article,Open Access,Scopus,2-s2.0-84921030262
"Rössler, W., Ajdacic-Gross, V., Müller, M., Rodgers, S., Kawohl, W., Haker, H., Hengartner, M.P.","Association between processing speed and subclinical psychotic symptoms in the general population: Focusing on sex differences",2014,"Schizophrenia Research","166","1-3",,"316","321",,2,10.1016/j.schres.2015.05.026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955333233&doi=10.1016%2fj.schres.2015.05.026&partnerID=40&md5=9bc744ab495c22f86e98d848a9341fb2",Article,,Scopus,2-s2.0-84955333233
"Wells, A.A., Palinkas, L.A., Williams, S.-L.L., Ell, K.","Retaining low-income minority cancer patients in a depression treatment intervention trial: Lessons learned",2014,"Community Mental Health Journal","51","6",,"715","722",,,10.1007/s10597-014-9819-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937846345&doi=10.1007%2fs10597-014-9819-3&partnerID=40&md5=f1ebb47285fb7b2602f97c13501c8450",Article,,Scopus,2-s2.0-84937846345
"Martinotti, G., Corazza, O., Achab, S., Demetrovics, Z.","Novel psychoactive substances and behavioral addictions",2014,"BioMed Research International","2014",, 534523,"","",,3,10.1155/2014/534523,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921033229&doi=10.1155%2f2014%2f534523&partnerID=40&md5=e3c6d8c25892344c8664a38df5a8c6e6",Editorial,Open Access,Scopus,2-s2.0-84921033229
"Moghaddam, J.F., Campos, M.D., Myo, C., Reid, R.C., Fong, T.W.","A longitudinal examination of depression among gambling inpatients",2014,"Journal of Gambling Studies","31","4",,"1245","1255",,4,10.1007/s10899-014-9518-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962069466&doi=10.1007%2fs10899-014-9518-6&partnerID=40&md5=cd5fc96753321809df91d832ca9287ff",Article,,Scopus,2-s2.0-84962069466
"Li, X., Guan, L., Chang, H., Zhang, B.","Core self-evaluation and burnout among nurses: The mediating role of coping styles",2014,"PLoS ONE","9","12", e115799,"","",,19,10.1371/journal.pone.0115799,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919912398&doi=10.1371%2fjournal.pone.0115799&partnerID=40&md5=cb8ff2d6512972b6257e3f9432ccea84",Article,Open Access,Scopus,2-s2.0-84919912398
"Schry, A.R., Norberg, M.M., Maddox, B.B., White, S.W.","Gender matters: The relationship between social anxiety and alcohol-related consequences",2014,"PLoS ONE","9","12", e115361,"","",,1,10.1371/journal.pone.0115361,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919934506&doi=10.1371%2fjournal.pone.0115361&partnerID=40&md5=96de2e9bb361e659665b89f8f6a085a2",Article,Open Access,Scopus,2-s2.0-84919934506
"Dillahunt-Aspillaga, C., Finch, D., Massengale, J., Kretzmer, T., Luther, S.L., McCart, J.A.","Using information from the electronic health record to improve measurement of unemployment in service members and veterans with mTBI and post-deployment stress",2014,"PLoS ONE","9","12", e115873,"","",,4,10.1371/journal.pone.0115873,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919918487&doi=10.1371%2fjournal.pone.0115873&partnerID=40&md5=5371fa2e7c3516bc0e0a59d363d3993a",Article,Open Access,Scopus,2-s2.0-84919918487
"Taylor, J.L., Zimet, G.D., Donahue, K.L., Alexander, A.B., Shew, M.L., Stupiansky, N.W.","Vaccinating sons against HPV: Results from a U.S. national survey of parents",2014,"PLoS ONE","9","12", e115154,"","",,6,10.1371/journal.pone.0115154,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919934504&doi=10.1371%2fjournal.pone.0115154&partnerID=40&md5=21441a0c738325460d80c4e8d4c31a6f",Article,Open Access,Scopus,2-s2.0-84919934504
"Robert Mitchell, J., Shepherd, D.A., Sharfman, M.P.","Erratic strategic decisions: When and why managers are inconsistent in strategic decision making",2014,"A Psychological Approach to Entrepreneurship: Selected Essays of Dean A. Shepherd",,,,"418","438",,,10.4337/9781783479801.00031,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959135851&doi=10.4337%2f9781783479801.00031&partnerID=40&md5=af0ce4986f8e81549c520e60b3e1cfd0",Book Chapter,,Scopus,2-s2.0-84959135851
"Bai, Y., Bai, J.-M., Li, J., Li, M., Yu, R., Pan, Q.-W.","Wavelet packet extraction and entropy analysis of telemetry EEG from the prelimbic cortex of medial prefrontal cortex in morphine-induced CPP rats",2014,"Sheng li xue bao : [Acta physiologica Sinica]","66","6",,"675","682",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938928571&partnerID=40&md5=7352405f3cec84055e80ce7426796158",Article,,Scopus,2-s2.0-84938928571
"Horgan, D., Jansen, M., Leyens, L., Lal, J.A., Sudbrak, R., Hackenitz, E., Bußhoff, U., Ballensiefen, W., Brand, A.","An index of barriers for the implementation of personalised medicine and pharmacogenomics in Europe",2014,"Public Health Genomics","17",,,"287","298",,26,10.1159/000368034,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911493416&doi=10.1159%2f000368034&partnerID=40&md5=4c3407b7d98117d13b5b2a6922677edc",Article,,Scopus,2-s2.0-84911493416
"Thiel, N., Tuschen-Caffier, B., Herbst, N., Külz, A.K., Nissen, C., Hertenstein, E., Gross, E., Voderholzer, U.","The prediction of treatment outcomes by early maladaptive schemas and schema modes in obsessive-compulsive disorder",2014,"BMC Psychiatry","14","1", 362,"","",,7,10.1186/s12888-014-0362-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924150205&doi=10.1186%2fs12888-014-0362-0&partnerID=40&md5=2dba19b53444dcae024a6cbb2fe5ce84",Article,,Scopus,2-s2.0-84924150205
"Hayhurst, K.P., Massie, J.A., Dunn, G., Lewis, S.W., Drake, R.J.","Validity of subjective versus objective quality of life assessment in people with schizophrenia",2014,"BMC Psychiatry","14","1", 365,"","",,18,10.1186/s12888-014-0365-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924968394&doi=10.1186%2fs12888-014-0365-x&partnerID=40&md5=dcae2f12b30f8d008c0d56bdb61f7a1a",Article,,Scopus,2-s2.0-84924968394
"Helzer, E.G., Furr, R.M., Hawkins, A., Barranti, M., Blackie, L.E.R., Fleeson, W.","Agreement on the Perception of Moral Character",2014,"Personality and Social Psychology Bulletin","40","12",,"1698","1710",,10,10.1177/0146167214554957,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911164059&doi=10.1177%2f0146167214554957&partnerID=40&md5=284b39a9a6384450aa3c065a7958e764",Article,,Scopus,2-s2.0-84911164059
"Kalckreuth, S., Trefflich, F., Rummel-Kluge, C.","Mental health related Internet use among psychiatric patients: A cross-sectional analysis",2014,"BMC Psychiatry","14","1", 368,"","",,13,10.1186/s12888-014-0368-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924115045&doi=10.1186%2fs12888-014-0368-7&partnerID=40&md5=e803f6069183ceb743566e473271b943",Article,,Scopus,2-s2.0-84924115045
"Brambilla, F., Amianto, F., Dalle Grave, R., Fassino, S.","Lack of efficacy of psychological and pharmacological treatments of disorders of eating behavior: Neurobiological background",2014,"BMC Psychiatry","14","1", 376,"","",,6,10.1186/s12888-014-0376-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924148382&doi=10.1186%2fs12888-014-0376-7&partnerID=40&md5=fa8f1d2a17ced379c659964b7d9cac89",Article,,Scopus,2-s2.0-84924148382
"Riedel, A., Suh, H., Haser, V., Hermann, I., Ebert, D., Riemann, D., Bubl, E., Tebartz van Elst, L., Hölzel, L.P.","Freiburg Questionnaire of linguistic pragmatics (FQLP): Psychometric properties based on a psychiatric sample",2014,"BMC Psychiatry","14","1", 9,"","",,,10.1186/s12888-014-0374-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924099850&doi=10.1186%2fs12888-014-0374-9&partnerID=40&md5=77175b749756f5fe7be49a4426ddaee4",Article,,Scopus,2-s2.0-84924099850
"Djaja, N., Youl, P., Aitken, J., Janda, M.","Evaluation of a skin self examination attitude scale using an item response theory model approach",2014,"Health and Quality of Life Outcomes","12","1", 189,"","",,2,10.1186/s12955-014-0189-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924808721&doi=10.1186%2fs12955-014-0189-x&partnerID=40&md5=61c5c9b088571d884dc396c54261e7f3",Article,,Scopus,2-s2.0-84924808721
"Peacock, A., Degenhardt, L., Hordern, A., Larance, B., Cama, E., White, N., Kihas, I., Bruno, R.","Methods and predictors of tampering with a tamper-resistant controlled-release oxycodone formulation",2014,"International Journal of Drug Policy","26","12",,"1265","1272",,6,10.1016/j.drugpo.2015.05.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932172672&doi=10.1016%2fj.drugpo.2015.05.023&partnerID=40&md5=7f78956ef2230a16a6301705996a20e1",Article,,Scopus,2-s2.0-84932172672
